Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2015-05;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;52034;21269;688
2015-05;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;28760;14382;373
2015-05;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32322;14374;462
2015-05;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;25010;12614;299
2015-05;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54033;19818;663
2015-05;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;34634;13644;376
2015-05;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;29231;13488;362
2015-05;Região não Especificada;Desconhecido | Nacional;;501;;
2015-06;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;14600;6345;90
2015-06;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;24607;12547;298
2015-06;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12002;4913;30
2015-06;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;46401;11833;326
2015-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;34305;14273;338
2015-06;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;33036;12547;266
2015-06;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;50321;12405;343
2015-06;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;33518;7429;431
2015-06;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;25088;9155;124
2015-06;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;23365;13594;334
2015-06;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;30708;15285;429
2015-06;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;29755;12379;251
2015-06;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;35260;18195;453
2015-07;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;33774;19517;373
2015-07;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;14436;6284;112
2015-07;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;33842;10813;342
2015-07;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9500;3745;71
2015-07;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;43721;15611;152
2015-07;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;14024;5311;28
2015-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;24835;5598;130
2015-07;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;22238;8972;205
2015-07;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35080;15116;431
2015-07;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;35994;19329;369
2015-07;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34583;11697;267
2015-07;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;17814;11056;181
2015-07;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;34656;17798;434
2015-07;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15133;6109;142
2015-08;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;19933;11144;244
2015-08;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;40823;26256;312
2015-08;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;20932;4830;58
2015-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;29313;8919;143
2015-08;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;21065;7746;116
2015-08;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;29585;11649;184
2015-08;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;37902;10209;312
2015-08;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;24291;12506;221
2015-08;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;12573;5491;100
2015-09;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;33656;19514;320
2015-09;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9515;4312;82
2015-09;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;53006;29707;340
2015-09;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5246;3233;8
2015-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;59038;19168;538
2015-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;34930;15095;328
2015-09;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;33787;13614;207
2015-09;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;34980;18351;388
2015-09;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35507;16187;380
2015-09;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;16833;11370;207
2015-09;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;25393;14206;270
2015-09;Região não Especificada;Desconhecido | Nacional;;355;150;
2015-10;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;26670;13284;329
2015-10;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;38165;13789;230
2015-10;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;55507;13121;286
2015-10;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;46525;13640;411
2015-10;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;28499;9717;148
2015-10;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;18623;12484;293
2015-10;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;60634;24074;682
2015-10;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;34424;18186;462
2015-10;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;20748;12004;260
2015-10;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;38727;17722;527
2015-10;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;26226;10162;421
2015-10;Região não Especificada;Desconhecido | Nacional;;366;176;
2015-11;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26726;8871;175
2015-11;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;37480;9323;208
2015-11;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;26849;5494;105
2015-11;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;31393;14689;364
2015-11;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;55496;23146;765
2015-11;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15903;5746;178
2015-11;Região não Especificada;Desconhecido | Nacional;;136;91;
2015-12;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;31313;11090;250
2015-12;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;63755;27705;438
2015-12;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;37822;14789;177
2015-12;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;30145;8133;341
2015-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;30803;12650;214
2015-12;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;23857;7777;129
2015-12;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;30171;12191;195
2015-12;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;32824;17501;366
2015-12;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;29340;10699;284
2016-01;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;26513;14112;346
2016-01;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;22914;9066;185
2016-01;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;56624;29741;402
2016-01;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;74547;30668;565
2016-01;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;37651;13035;234
2016-01;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;25976;5960;126
2016-01;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;52862;13436;374
2016-01;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;20337;9552;290
2016-01;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34723;12302;301
2016-01;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;22978;9484;221
2016-01;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;25760;8860;263
2016-01;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32058;16829;410
2016-01;Região não Especificada;Desconhecido | Nacional;;328;118;
2016-01;Região não Especificada;Desconhecido | Nacional;;877;;
2016-02;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;26011;12243;322
2016-02;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;34178;18067;350
2016-02;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5280;2721;5
2016-02;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;33553;7524;427
2016-02;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;38238;9781;251
2016-02;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;25665;5749;104
2016-02;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;52321;12092;263
2016-02;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;31822;8434;338
2016-02;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;26605;9126;168
2016-02;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;19103;10738;310
2016-02;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32713;15970;443
2016-02;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25304;12437;388
2016-02;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;25006;8151;313
2016-02;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16132;6307;198
2016-02;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;33244;12766;321
2016-02;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15244;5671;213
2016-02;Região não Especificada;Desconhecido | Nacional;;178;77;
2016-02;Região não Especificada;Desconhecido | Nacional;;349;120;
2016-03;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;56426;13703;371
2016-03;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;38854;10318;247
2016-03;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;39641;15149;466
2016-03;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;59323;21841;618
2016-03;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;32887;15135;390
2016-03;Região não Especificada;Desconhecido | Nacional;;153;78;
2016-04;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;33921;17748;340
2016-04;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;15045;6622;156
2016-04;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;29891;8776;291
2016-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;58390;19520;574
2016-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;33924;14333;374
